年份,收容隻數,認領養數,認領養率,人道處理數,人道處理率,所內死亡數,所內死亡率,總移除數,收容減移除
97,120337,16573,13.77%,84854,70.51%, , ,101427,18910
98,127703,17536,13.73%,93342,73.09%, , ,110878,16825
99,117676,20657,17.55%,74422,63.24%, , ,95079,22597
100,112206,22741,20.27%,64922,57.86%, , ,87663,24543
101,111029,31684,28.54%,55398,49.90%, , ,87082,23947
102,113041,46160,40.83%,45672,40.40%, , ,91832,21209
103,94741,54743,57.78%,25057,26.45%,12653,13.36%,92453,2288
104,79251,55694,70.28%,10892,13.74%,8636,10.90%,75222,4029
105,64276,48119,74.86%,7960,12.38%,6026,9.38%,62105,2171
106,40524,33111,81.71%,753,1.86%,3417,8.43%,37281,3243
