年度,總計,教授,副教授,助理教授,講師,,,,
1950,48,38,7,0,3,,,,
1951,81,59,10,0,12,,,,
1952,103,80,11,0,12,,,,
1954,130,87,15,0,28,,,,
1955,144,94,26,0,24,,,,
1956,150,104,23,0,23,,,,
1957,141,95,27,0,19,,,,
1958,161,110,27,0,24,,,,
1960,147,107,18,0,22,,,,
1961,216,119,43,0,54,,,,
1962,208,122,54,0,32,,,,
1963,207,118,52,0,37,,,,
1964,222,105,59,0,58,,,,
1965,220,111,51,0,58,,,,
1966,241,121,61,0,59,,,,
1967,233,115,56,0,62,,,,
1968,239,120,58,0,61,,,,
1969,291,133,75,0,83,,,,
1970,282,128,68,0,86,,,,
1971,293,128,71,0,94,,,,
1972,304,122,77,0,105,,,,
1973,296,135,61,0,100,,,,
1974,286,136,66,0,84,,,,
1975,280,139,59,0,82,,,,
1976,297,149,70,0,78,,,,
1977,299,145,76,0,78,,,,
1978,301,155,73,0,73,,,,
1979,317,165,81,0,71,,,,
1980,332,163,98,0,71,,,,
1981,324,166,95,0,63,,,,
1982,314,157,93,0,64,,,,
1983,471,253,131,0,87,,,,
1984,369,203,112,0,54,,,,
1985,604,317,160,0,127,,,,
1986,586,287,158,0,141,,,,
1987,588,259,182,0,147,,,,
1988,546,250,140,0,156,,,,
1989,621,286,169,0,166,,,,
1990,647,250,197,0,200,,,,
1991,704,281,218,0,205,,,,
1992,711,250,229,0,232,,,,
1993,780,284,228,0,268,,,,
1994,792,294,243,0,255,,,,
1995,890,348,251,0,291,,,,
1996,891,353,238,0,300,,,,
1997,952,372,264,17,299,,,,
1998,913,371,247,41,254,,,,
1999,861,351,234,56,220,,,,
2000,933,409,221,65,238,,,,
2001,1074,442,227,77,328,,,,
2002,1078,449,233,116,280,,,,
2003,1185,486,240,148,307,,,,
2004,1247,514,241,171,321,,,,
2005,1302,513,245,193,351,,,,
2006,1372,515,253,217,387,,,,
2007,1429,537,257,216,419,,,,
2008,1585,629,256,272,428,,,,
2009,1709,640,260,319,490,,,,
2010,1787,682,283,370,452,,,,
2011,1818,695,283,374,466,,,,
2012,1889,697,310,382,500,,,,
2013,1911,714,337,365,495,,,,
2014,1964,731,338,390,505,,,,
2015,2095,823,354,407,511,,,,
2016,2116,833,368,418,497,,,,
