year,professor,associate,assistant,lecturer
1950 ,178 ,71 ,0 ,64 
1951 ,186 ,74 ,0 ,76 
1952 ,187 ,77 ,0 ,89 
1953 ,204 ,81 ,0 ,104 
1954 ,224 ,93 ,0 ,121 
1955 ,229 ,98 ,0 ,132 
1956 ,254 ,102 ,0 ,165 
1957 ,255 ,98 ,0 ,165 
1958 ,279 ,108 ,0 ,169 
1959 ,281 ,122 ,0 ,173 
1960 ,283 ,127 ,0 ,172 
1961 ,295 ,163 ,0 ,171 
1962 ,304 ,170 ,0 ,176 
1963 ,322 ,179 ,0 ,195 
1964 ,335 ,179 ,0 ,209 
1965 ,338 ,189 ,0 ,204 
1966 ,354 ,195 ,0 ,219 
1967 ,368 ,220 ,0 ,226 
1968 ,369 ,220 ,0 ,232 
1969 ,390 ,284 ,0 ,238 
1970 ,404 ,316 ,0 ,246 
1971 ,406 ,328 ,0 ,243 
1972 ,431 ,333 ,0 ,258 
1973 ,398 ,343 ,0 ,283 
1974 ,440 ,363 ,0 ,291 
1975 ,454 ,344 ,0 ,290 
1976 ,476 ,340 ,0 ,282 
1977 ,484 ,344 ,0 ,278 
1978 ,502 ,341 ,0 ,280 
1979 ,488 ,340 ,0 ,282 
1980 ,531 ,340 ,0 ,293 
1981 ,555 ,337 ,0 ,277 
1982 ,587 ,374 ,0 ,297 
1983 ,581 ,373 ,0 ,267 
1984 ,615 ,416 ,0 ,245 
1985 ,605 ,449 ,0 ,264 
1986 ,656 ,503 ,0 ,259 
1987 ,680 ,544 ,0 ,254 
1988 ,696 ,576 ,0 ,254 
1989 ,721 ,584 ,0 ,242 
1990 ,747 ,618 ,0 ,227 
1991 ,802 ,655 ,0 ,223 
1992 ,856 ,661 ,0 ,210 
1993 ,861 ,677 ,0 ,209 
1994 ,901 ,678 ,0 ,214 
1995 ,929 ,646 ,0 ,220 
1996 ,961 ,669 ,0 ,193 
1997 ,999 ,593 ,54 ,167 
1998 ,995 ,575 ,98 ,154 
1999 ,991 ,545 ,126 ,132 
2000 ,1011 ,497 ,156 ,114 
2001 ,1011 ,478 ,185 ,109 
2002 ,998 ,462 ,218 ,93 
2003 ,997 ,452 ,238 ,85 
2004 ,997 ,443 ,283 ,79 
2005 ,1002 ,455 ,294 ,67 
2006 ,1020 ,450 ,330 ,69 
2007 ,1027 ,459 ,352 ,63 
2008 ,1024 ,470 ,365 ,65 
2009 ,1051 ,472 ,382 ,62 
2010 ,1075 ,466 ,377 ,54 
2011 ,1089 ,481 ,364 ,49 
2012 ,1108 ,484 ,356 ,45 
2013 ,1127 ,473 ,394 ,50 
2014 ,1151 ,481 ,383 ,46 
2015 ,1158 ,488 ,381 ,41 
2016 ,1171 ,478 ,373 ,41 
